Model,Accuracy,F1-Score,TN,FP,FN,TP
Logistic Regression,0.9762059973924381,0.9765007603687138,1185,31,115,4805
Random Forest,0.8300195567144719,0.7745454952380361,174,1042,1,4919
Linear SVM,0.9819100391134289,0.9820114466351726,1179,37,74,4846
